Site	lat	long
dz01a	3.143113	16.406222
dz02a	3.10579	16.369213
dz02b	3.106591	16.412033
dz02c	3.112466	16.453326
dz03a	3.05757	16.317466
dz03b	3.051311	16.36625
dz03c	3.057981	16.408201
dz03d	3.061634	16.455628
dz04a	3.014494	16.369468
dz04b	3.01316	16.4171
dz04c	3.018197	16.454801
dz04d	2.999311	16.48616
dz05a	2.970685	16.372576
dz05b	2.969515	16.41401
dz05c	2.970918	16.456721
dz06a	2.932916	16.370754
dz06b	2.929307	16.412321
dz06c	2.926803	16.453662
dz07a	2.88317	16.36757
dz07b	2.87664	16.41155
dz07c	2.87707	16.46047
dz07d	2.86563	16.49796
dz08a	2.83602	16.41628
dz08b	2.83748	16.45858
dz08c	2.83566	16.49881
dz09a	2.796646	16.426343
dz09b	2.79562	16.45944
dz10a	2.762487	16.315098
dz10b	2.750383	16.357972
dz10c	2.751782	16.413094
dz10d	2.746736	16.451041
dz11a	2.703574	16.33466
dz11b	2.710899	16.368369
dz11c	2.70553	16.415996
